iter	Passed	Remaining
0	1350	1079139
1	2349	937641
2	3129	831486
3	3929	781941
4	4204	668509
5	4472	591821
6	4741	537091
7	4986	493644
8	5213	458228
9	5466	431865
10	5696	408605
11	5915	388477
12	6156	372731
13	6389	358750
14	6599	345375
15	6848	335598
16	7053	324878
17	7300	317144
18	7525	309327
19	7756	302499
20	7999	296728
21	8229	291008
22	8444	285274
23	8671	280368
24	8902	275992
25	9144	272212
26	9367	268187
27	9594	264527
28	9799	260528
29	10022	257255
30	10273	254854
31	10487	251702
32	10710	248943
33	10920	246026
34	11135	243395
35	11334	240550
36	11551	238208
37	11786	236348
38	11986	233881
39	12192	231652
40	12407	229697
41	12626	227880
42	12858	226363
43	13059	224390
44	13297	223099
45	13518	221590
46	13718	219795
47	13930	218245
48	14157	216986
49	14380	215711
50	14605	214493
51	14853	213663
52	15052	212153
53	15277	211057
54	15487	209782
55	15703	208634
56	15923	207569
57	16157	206707
58	16377	205688
59	16618	204960
60	16833	203934
61	17042	202862
62	17261	201935
63	17481	201037
64	17702	200178
65	17932	199429
66	18172	198809
67	18388	197943
68	18605	197112
69	18825	196318
70	19035	195447
71	19240	194544
72	19440	193606
73	19675	193035
74	19875	192129
75	20065	191153
76	20272	190351
77	20505	189811
78	20727	189174
79	20940	188464
80	21160	187832
81	21371	187130
82	21595	186557
83	21808	185893
84	22018	185210
85	22217	184460
86	22439	183904
87	22629	183097
88	22842	182483
89	23038	181748
90	23255	181187
91	23466	180590
92	23674	179977
93	23901	179512
94	24111	178932
95	24401	178944
96	24608	178350
97	24818	177782
98	25044	177335
99	25252	176766
100	25495	176451
101	25695	175840
102	25908	175325
103	26101	174682
104	26318	174201
105	26532	173714
106	26741	173194
107	26945	172652
108	27169	172241
109	27384	171773
110	27593	171277
111	27784	170675
112	27986	170148
113	28180	169577
114	28398	169158
115	28605	168673
116	28805	168155
117	29004	167638
118	29205	167132
119	29404	166626
120	29607	166142
121	29809	165660
122	30013	165193
123	30210	164694
124	30402	164173
125	30603	163704
126	30821	163329
127	31034	162930
128	31224	162416
129	31439	162036
130	31652	161646
131	31883	161348
132	32097	160970
133	32305	160563
134	32494	160067
135	32707	159691
136	32905	159245
137	33091	158744
138	33319	158449
139	33548	158157
140	33754	157759
141	33978	157448
142	34189	157079
143	34391	156674
144	34597	156283
145	34827	156007
146	35049	155696
147	35246	155276
148	35476	155001
149	35677	154601
150	35884	154231
151	36093	153871
152	36301	153509
153	36514	153169
154	36730	152846
155	36940	152497
156	37177	152261
157	37401	151973
158	37607	151612
159	37823	151292
160	38043	150994
161	38252	150648
162	38465	150322
163	38660	149928
164	38863	149565
165	39075	149239
166	39291	148929
167	39512	148641
168	39725	148324
169	39938	148007
170	40144	147666
171	40368	147391
172	40590	147111
173	40795	146771
174	41002	146436
175	41197	146063
176	41421	145793
177	41622	145444
178	41827	145112
179	42036	144791
180	42237	144447
181	42448	144138
182	42653	143808
183	42847	143445
184	43065	143162
185	43231	142708
186	43449	142431
187	43652	142103
188	43854	141774
189	44047	141415
190	44253	141100
191	44474	140835
192	44677	140513
193	44914	140299
194	45135	140035
195	45313	139638
196	45534	139376
197	45739	139066
198	45962	138811
199	46170	138512
200	46362	138165
201	46581	137899
202	46795	137621
203	46981	137258
204	47193	136975
205	47391	136653
206	47610	136390
207	47835	136146
208	48049	135870
209	48269	135614
210	48477	135322
211	48679	135015
212	48900	134763
213	49093	134433
214	49337	134244
215	49500	133835
216	49684	133483
217	49902	133225
218	50109	132938
219	50332	132695
220	50543	132418
221	50754	132145
222	50960	131857
223	51158	131551
224	51354	131239
225	51526	130868
226	51747	130622
227	51957	130350
228	52176	130099
229	52386	129827
230	52599	129563
231	52811	129296
232	53027	129042
233	53228	128749
234	53458	128527
235	53638	128187
236	53857	127939
237	54061	127657
238	54250	127342
239	54459	127071
240	54613	126675
241	54829	126424
242	55083	126262
243	55297	126006
244	55510	125749
245	55710	125461
246	55942	125247
247	56171	125027
248	56367	124733
249	56561	124435
250	56778	124188
251	56975	123898
252	57185	123637
253	57393	123373
254	57602	123110
255	57818	122864
256	57998	122541
257	58206	122279
258	58428	122045
259	58640	121792
260	58811	121454
261	59025	121204
262	59237	120953
263	59453	120709
264	59655	120436
265	59832	120113
266	60014	119803
267	60237	119574
268	60455	119337
269	60673	119099
270	60905	118889
271	61107	118619
272	61326	118384
273	61544	118146
274	61753	117892
275	61932	117581
276	62131	117309
277	62323	117024
278	62511	116733
279	62729	116497
280	62922	116215
281	63119	115943
282	63347	115726
283	63545	115456
284	63746	115190
285	63962	114952
286	64202	114758
287	64384	114462
288	64548	114132
289	64755	113879
290	64961	113627
291	65190	113413
292	65383	113138
293	65582	112873
294	65798	112637
295	66001	112381
296	66229	112166
297	66399	111854
298	66650	111679
299	66834	111390
300	67022	111109
301	67177	110776
302	67375	110512
303	67577	110257
304	67801	110038
305	68019	109808
306	68168	109468
307	68363	109203
308	68563	108946
309	68759	108683
310	68951	108415
311	69151	108160
312	69306	107835
313	69482	107542
314	69690	107301
315	69898	107060
316	70114	106830
317	70317	106582
318	70542	106367
319	70745	106117
320	70984	105924
321	71188	105677
322	71408	105454
323	71592	105178
324	71796	104933
325	71992	104676
326	72190	104422
327	72392	104174
328	72590	103921
329	72796	103680
330	73011	103450
331	73216	103209
332	73427	102974
333	73626	102724
334	73842	102497
335	74049	102258
336	74265	102032
337	74443	101754
338	74628	101486
339	74824	101232
340	75014	100973
341	75231	100748
342	75427	100497
343	75611	100229
344	75808	99978
345	75994	99715
346	76212	99493
347	76424	99264
348	76636	99034
349	76826	98777
350	77050	98563
351	77210	98268
352	77408	98021
353	77611	97781
354	77775	97492
355	77955	97225
356	78143	96967
357	78363	96750
358	78629	96589
359	78842	96362
360	79029	96105
361	79234	95869
362	79419	95609
363	79646	95400
364	79863	95179
365	80091	94971
366	80273	94709
367	80411	94396
368	80605	94148
369	80806	93910
370	81009	93673
371	81227	93455
372	81390	93173
373	81615	92963
374	81840	92752
375	82055	92531
376	82284	92324
377	82499	92102
378	82637	91795
379	82874	91597
380	83029	91310
381	83216	91059
382	83433	90840
383	83614	90582
384	83804	90334
385	83999	90092
386	84200	89857
387	84427	89650
388	84677	89466
389	84893	89247
390	85095	89012
391	85309	88791
392	85495	88541
393	85699	88309
394	85853	88027
395	86066	87804
396	86265	87569
397	86453	87322
398	86645	87079
399	86849	86849
400	87040	86605
401	87245	86377
402	87439	86137
403	87618	85883
404	87792	85624
405	87971	85370
406	88113	85082
407	88323	84860
408	88514	84618
409	88721	84393
410	88935	84175
411	89149	83956
412	89362	83737
413	89551	83494
414	89763	83274
415	89943	83024
416	90153	82802
417	90356	82574
418	90546	82334
419	90730	82089
420	90941	81868
421	91089	81591
422	91284	81357
423	91460	81106
424	91665	80881
425	91862	80648
